Model,Item english,Item spanish
Neoliberalism,The government should provide the entire population with basic services such as health care and legal assistance free of charge,El Gobierno debería proporcionar a toda la población servicios básicos como la asistencia sanitaria y la asistencia jurídica de forma gratuita
Neoliberalism,"If the government has to increase its debt to help people, it should do so","Si el Gobierno tiene que aumentar su deuda para ayudar a la gente, debería hacerlo"
Neoliberalism,Society should provide free resources and services to people who cannot afford them,La sociedad debería proporcionar recursos y servicios gratuitos a las personas que no pueden permitírselos
Neoliberalism,People with higher incomes should pay more taxes than those with lower incomes,Las personas con ingresos más elevados deberían pagar más impuestos que las que tienen ingresos más bajos
