"seccion","n_casos","promedio_seg","promedio_min"
"Común (todos)",20,582.05,9.7
"Modulo A",8,384.88,6.41
"Modulo B",5,261.2,4.35
"Modulo C",6,474.67,7.91
"Total estimado (común + A + B + C)",,1702.8,28.38
